SupplierName,Dept,Service,NatAnal,ModuleName,Company,Account,Site,Section,Structure,Intercompany,Nature,Major,Minor,GroupSectionAndDescription,LedgerName,Source,Category,SupplierNumber,SupplierName_Fake,DocumentCurrency,Ledgercurrency,AmoutinEUR,DebitEnteredAmount,CreditEnteredAmount,DebitAccountedAmount,CreditAccountedAmount,DateCreated,POOrderedDate,DueDate
EZGWN KMI INC,MQ,SC,Telecom Voice,PA,Apex Innovations Ltd,6877100,MXA,14580B,7950,407,N99_DEPRECIATION_F,MAJ20_Cascade_ENERGY_V,MIN0830,1448 ISIT Infra Transverse operations (GOM),MX_839_PL_USD,Recurring,Reclass,36,Reliable Manufacturing Group,USD,CAD,369708.98,936.9,0,338.78,0,01/20/2024,07/15/2024,08/31/2025
SERMK KMI INC,IN,MF,Taxes,PA,TechnoGlobal Industries,9840900,MXA,14340A,7956,0,N81_MASA_F,MAJ02_Prod_Maint_Wages_V,MIN1120,1432 ISIT Region Direction,MX_589_PL_MXN,MassAllocation,Misc Receipts,37,Integrated Manufacturing,GBP,CAD,21659.23,226.71,0,553.38,0,10/30/2025,11/01/2025,11/01/2025
DJFIR DBC INC,DIR,MASS ALLOC,Travels,INV,Quantum Dynamics Group,6466200,DDD,14360B,7956,200,N97_FE_F,MAJ09_General_Overhead_F,MIN0415,1448 ISIT Infra Transverse operations (GOM),MX_839_PL_MXN,Cost Management,GL_Supplier_Auto_Reversal,16,Essential Materials Ltd,BRL,CAD,492096.62,655.7,0,779.46,0,07/14/2025,08/23/2025,09/23/2025
SAQTJ TSI INC,MQ,EC,Telecom Voice,GL,Nexus Enterprise Holdings,6447201,MAN,98158Z,7950,589,N23_FE_TRAVEL_F,MAJ16_FA_Disposal,MIN0435,1464 ISIT BSS Research & development (RD),MX_839_PL_USD,MICH_EPW_GLJRNLINTF,Misc Receipts,39,Optimal Distribution Co,CAD,USD,946071.44,453.02,0,778.47,0,02/29/2024,04/26/2025,05/09/2025
ZXCDD BQQ INC,BSS,NET,Invoices sent,AP,Nexus Enterprise Holdings,6457200,MXA,14320G,7950,407,N93_ENERGY_V,MAJ16_Restructuring,MIN2043,9815 Expenses to be reinvoiced or reallocated,,,Interface,33,Progressive Technologies,BRL,CAD,515338.55,57.93,0,964.91,0,09/27/2025,11/01/2025,11/01/2025
IVYMQ KNH INC,DIR,Group ES,Travels,PO,TechnoGlobal Industries,6448710,MTC,14660A,7950,511,N97_FE_F,MAJ11_Income,MIN1110,1436 ISIT Infra Service Line EUX (End User Experience),,Receivables,GL_Supplier_Auto_Reversal,23,Elite Engineering Services,BRL,MXN,560449.8,19.3,0,537.31,0,11/12/2024,06/01/2025,09/08/2025
OLQYB CRB INC,IN,Group ES,Invoices sent,PA,Nexus Enterprise Holdings,6117100,RES,14580B,7950,567,N22_FE_F,MAJ06_Utilities_Energy_V,MIN0430,1432 ISIT Region Direction,MX_589_PL_MXN,Receivables,Retirement,45,Leading Products Corp,USD,BRL,275403.02,901.7,0,118.47,0,01/03/2024,12/22/2024,01/07/2025
HJDBJ YHW INC,MQ,Group EC,Telecom Data,GL,Meridian Solutions Corp,6748000,PPC,14400C,7956,511,N97_FE_F,MAJ16_Restructuring,MIN0210,1470 ISIT BSS IS Region managers (ISRM),US_415_PL_USD,,REC,31,Superior Quality Goods,MXN,MXN,379369.9,254.0,0,740.77,0,08/30/2024,10/07/2024,02/18/2025
YKNSF FGO INC,DIR,MF,Invoices sent,GL,Apex Innovations Ltd,6733000,LAV,14440A,7950,0,N91_MASA_F,MAJ20_Allocation_FE_F,MIN0410,1440 ISIT Infra Data centre & applications platforms (DAP),MX_589_PL_MXN,Spreadsheet,Sales Invoices,34,Certified Distribution Corp,EUR,CAD,944273.32,676.76,0,514.47,0,01/27/2025,08/19/2025,10/03/2025
TQRGL TPK INC,DIR,Infra - Projects,Training,PO,Quantum Dynamics Group,6417711,PPC,14562Z,7950,0,N70_DEPRECIATION_F,MAJ09_General_Overhead_V,MIN0840,9815 Expenses to be reinvoiced or reallocated,MX_589_PL_MXN,Recurring,GL_Allocation,43,Progressive Manufacturing,BRL,CAD,219588.33,3.59,0,370.84,0,02/28/2023,05/20/2025,07/13/2025
AHHFA AEA INC,BSS,EUX,Taxes,AP,Apex Innovations Ltd,6437110,GRU,96501C,7956,511,N81_MASA_F,MAJ06_Utilities_Energy_V,MIN0923,1460 ISIT BSS Methods & Sales (MS),,Projects,Write-off,50,Advanced Materials Group,CAD,CAD,580339.93,192.74,0,990.92,0,09/03/2025,10/06/2025,10/15/2025
SSCYP WBG INC,MQ,IN DIR,Travels,AP,Quantum Dynamics Group,6185000,MXA,96501B,7956,589,N97_FE_F,MAJ20_Cascade_ENERGY_F,MIN0430,1460 ISIT BSS Methods & Sales (MS),US_415_PL_USD,,GL_Intercompany_Reversal,38,Excellence Manufacturing,USD,CAD,404636.27,149.69,0,761.44,0,10/16/2025,10/23/2025,10/30/2025
WSLWS HWB INC,BSS,RD,Purchases,PA,Apex Innovations Ltd,6416115,PPC,96501C,7950,796,N91_MASA_F,MAJ08_Industrial_Supplies_V,MIN0510,1448 ISIT Infra Transverse operations (GOM),BR_414_PL_BRL,,GL_Accrual_Auto_Reversal,8,Prime Logistics Partners,EUR,BRL,481435.99,313.06,0,208.23,0,01/01/2023,04/29/2024,05/02/2024
SSCYP WBG INC,BSS,Infra - Projects,Depreciation,PA,Nexus Enterprise Holdings,6738000,MAN,14320F,7956,511,N81_MASA_F,MAJ08_Industrial_Supplies_V,MIN0917,1448 ISIT Infra Transverse operations (GOM),,MICH_EPW_GLJRNLINTF,GL_Supplier_Auto_Reversal,45,Standard Products Company,GBP,CAD,713987.02,841.38,0,540.09,0,02/02/2025,03/08/2025,07/19/2025
UQMZJ VFM INC,BSS,D1 DAP,Training,GL,Quantum Dynamics Group,6134000,RIO,14680B,7956,511,N87_FE_F,MAJ07_Transportation_V,MIN2043,9815 Expenses to be reinvoiced or reallocated,CA_407_PL_CAD,CLL F189 INTEGRATED RCV,GL_Intercompany_Reversal,36,Optimal Resources Inc,MXN,CAD,748789.8,857.71,0,492.93,0,04/04/2023,10/06/2023,07/15/2024
PRATI WNH INC,IN,GOSM,Invoices sent,GL,Meridian Solutions Corp,6221000,DDD,14620A,7950,723,N24_FE_MISC_INCOME_F,MAJ05_Maintenance_V,MIN0935,1460 ISIT BSS Methods & Sales (MS),BR_414_PL_BRL,,Depreciation,5,Leading Edge Technologies,MXN,CAD,990721.35,673.29,0,301.25,0,08/18/2025,09/19/2025,09/21/2025
FKPBU RYS INC,DIR,Group EC,Telecom Data,GL,Meridian Solutions Corp,9840205,MAN,14620A,7950,409,N88_CESSIONS_DORD,MAJ02_Prod_Maint_Wages_V,MIN0916,1458 ISIT BSS Entreprises Services (ES),MX_589_PL_MXN,Recurring,Adjustment,13,Elite Engineering Services,USD,MXN,360906.39,925.82,0,423.77,0,12/21/2024,05/28/2025,10/12/2025
LHGNH JEJ INC,MQ,EUX,Depreciation,AP,Quantum Dynamics Group,6467202,LAV,14560B,7956,200,N70_DEPRECIATION_F,MAJ02_Prod_Maint_Wages_V,MIN0919,1460 ISIT BSS Methods & Sales (MS),MX_839_PL_USD,Projects,GL_Intercompany,11,Integrated Solutions Ltd,CAD,BRL,25753.8,782.21,0,353.05,0,09/07/2024,10/02/2025,10/17/2025
XIRPT LDY INC,DIR,Group EUX,Training,INV,TechnoGlobal Industries,6453000,MXA,14480A,7956,409,N88_CESSIONS_DORD,MAJ08_Industrial_Supplies_V,MIN0430,1456 ISIT Charge back central,MX_589_PL_MXN,Recurring,Misc Receipts,3,Superior Quality Goods,EUR,USD,17414.42,400.11,0,467.96,0,10/30/2024,12/31/2024,09/13/2025
PTCRL NVD INC,BSS,D1 DAP,Other expenses,GL,Nexus Enterprise Holdings,6417708,MTC,14320H,7956,589,N93_ENERGY_V,MAJ20_Cascade_MASA_F,MIN0840,1464 ISIT BSS Research & development (RD),BR_414_PL_BRL,Cost Management,GL_Tax,28,Dynamic Industries Inc,EUR,USD,706830.01,836.11,0,914.44,0,03/16/2024,10/14/2024,10/30/2024
XUGFF KEQ INC,DIR,EC,Other expenses,AP,Apex Innovations Ltd,6417201,MTC,14661C,7956,409,N91_MASA_F,MAJ02_Prod_Maint_Wages_V,MIN0410,1464 ISIT BSS Research & development (RD),US_415_PL_USD,,GL_Tax,8,Professional Resources Ltd,EUR,CAD,947707.2,22.58,0,591.2,0,01/05/2023,10/05/2025,10/14/2025
LHGNH JEJ INC,DIR,MQ,Taxes,GL,Nexus Enterprise Holdings,6310707,CGR,96501B,7950,567,N22_FE_F,MAJ20_Cascade_ENERGY_V,MIN0840,1436 ISIT Infra Service Line EUX (End User Experience),MX_839_PL_MXN,,Purchase Invoices,37,Quality Components Ltd,MXN,USD,301298.94,311.53,0,864.4,0,11/19/2023,06/17/2025,09/18/2025
FJFKA HXO INC,BSS,QPO,Depreciation,PO,TechnoGlobal Industries,6457702,GRU,14700A,7956,200,N88_CESSIONS_DORD,MAJ20_Allocation_MASA_F,MIN0936,1462 ISIT BSS Production Sytems (PS),US_415_PL_USD,Payables,GL_Supplier_Auto_Reversal,24,Certified Distribution Corp,USD,BRL,816934.32,212.34,0,901.87,0,10/29/2023,04/16/2024,10/09/2025
RGFEQ EIJ INC,BSS,NET,Internal,GL,TechnoGlobal Industries,6459101,LAV,14580B,7956,200,N97_FE_F,MAJ16_Restructuring,MIN2040,1470 ISIT BSS IS Region managers (ISRM),MX_589_PL_MXN,Assets,GL_Intercompany,31,Advanced Systems Group,MXN,MXN,697261.74,198.23,0,653.67,0,10/31/2024,08/31/2025,10/11/2025
BHHJW VWN INC,DIR,Communications,Invoices sent,PA,Apex Innovations Ltd,7041005,PPC,14600B,7956,0,N99_DEPRECIATION_F,MAJ10_Advertising_F,MIN0511,1452 ISIT Infra Management,MX_839_PL_USD,Payables,Addition,31,Modern Equipment Corp,MXN,CAD,246682.68,920.38,0,195.3,0,07/31/2025,10/03/2025,10/22/2025
OCHJR UKJ INC,IN,Group ES,Travels,PA,TechnoGlobal Industries,6477100,CGR,14661C,7956,589,N23_FE_TRAVEL_F,MAJ04_Salary_Labor_F,MIN0810,1464 ISIT BSS Research & development (RD),BR_414_PL_BRL,Recurring,Depreciation,35,Innovation Industries Corp,CAD,BRL,477816.02,289.49,0,872.11,0,09/20/2024,09/29/2024,01/08/2025
QAWZE BZU INC,MQ,MASS ALLOC,Maintenance & Rental,PO,Apex Innovations Ltd,6133000,RES,14400C,7950,415,N23_FE_TRAVEL_F,MAJ06_Utilities_Energy_V,MIN2072,1440 ISIT Infra Data centre & applications platforms (DAP),MX_839_PL_USD,Spreadsheet,Depreciation,31,Precision Services Co,GBP,USD,105725.48,386.16,0,807.78,0,02/01/2025,10/01/2025,10/11/2025
SERMK KMI INC,BSS,MASS ALLOC,Purchases,INV,Meridian Solutions Corp,6418203,RES,14440A,7950,409,N91_MASA_F,MAJ11_Income,MIN0710,1456 ISIT Charge back central,CA_407_PL_CAD,Payables,GL_Legal_Adjustments,11,Excellence Products Co,USD,MXN,136991.71,1.54,0,488.82,0,04/06/2025,05/11/2025,08/20/2025
WBPKJ ITB INC,IN,MF,Purchases,INV,TechnoGlobal Industries,6438704,LAV,98158Z,7956,409,N23_FE_TRAVEL_F,MAJ11_Income,MIN0430,1468 ISIT BSS Management,MX_839_PL_MXN,MICH_EPW_GLJRNLINTF,Depreciation,42,Optimal Resources Inc,GBP,MXN,937435.08,494.27,0,746.11,0,08/21/2024,10/18/2025,10/24/2025
SPMPQ XRH INC,BSS,D1 DAP,Training,GL,Quantum Dynamics Group,6413000,RIO,14600A,7956,567,N81_MASA_F,MAJ15_Depreciation_F,MIN0945,1440 ISIT Infra Data centre & applications platforms (DAP),MX_589_PL_MXN,CLL F189 INTEGRATED RCV,GL_Allocation_Auto_Revers,40,Mega Solutions LLC,CAD,MXN,556806.5,970.04,0,550.42,0,01/02/2024,02/17/2025,04/15/2025
NDWBY MQJ INC,MQ,D1 DAP,Taxes,INV,Nexus Enterprise Holdings,6437100,MTC,96501C,7956,409,N99_DEPRECIATION_F,MAJ10_Advertising_F,MIN0940,1436 ISIT Infra Service Line EUX (End User Experience),BR_414_PL_BRL,Payables,GL_Allocation_Auto_Revers,16,Universal Products LLC,CAD,MXN,37337.58,617.2,0,142.48,0,08/26/2024,10/07/2025,10/23/2025
LTGLQ JTB INC,DIR,MF,Depreciation,INV,TechnoGlobal Industries,6448703,CGR,14320H,7956,589,N70_DEPRECIATION_F,MAJ16_Restructuring,MIN0970,1456 ISIT Charge back central,,CLL F189 INTEGRATED RCV,GL_Supplier,3,Leading Edge Technologies,MXN,USD,96443.34,128.72,0,768.36,0,11/13/2023,06/30/2025,10/15/2025
ZTMRZ ONO INC,DIR,EC,Purchases,INV,Quantum Dynamics Group,6116000,RIO,14360A,7950,796,N21_FE_V,MAJ10_Advertising_F,MIN0810,1452 ISIT Infra Management,,Spreadsheet,GL_Supplier,24,Dynamic Industries Inc,USD,BRL,731695.94,551.64,0,874.08,0,11/15/2024,03/19/2025,08/13/2025
OVIES IKB INC,DIR,EUX,Invoices sent,GL,Apex Innovations Ltd,6160000,GRU,96501B,7950,200,N24_FE_MISC_INCOME_F,MAJ09_General_Overhead_V,MIN2063,1462 ISIT BSS Production Sytems (PS),BR_414_PL_BRL,,GL_Allocation,37,Innovation Systems Ltd,MXN,USD,601809.53,78.25,0,925.12,0,07/31/2024,11/12/2024,05/16/2025
KJCVY RQA INC,MQ,QPO,Invoices sent,AP,Meridian Solutions Corp,6433000,RES,96501C,7950,511,N94_ENERGY_F,MAJ11_Income,MIN2062,1466 ISIT BSS Supply Chain (SC),CA_407_PL_CAD,Spreadsheet,GL_Allocation_Auto_Revers,10,Mega Solutions LLC,CAD,CAD,695506.99,209.56,0,74.6,0,02/24/2023,08/03/2023,07/13/2024
DTWOA EUS INC,BSS,Communications,Telecom Data,PA,TechnoGlobal Industries,6443000,RIO,14720A,7950,407,N88_CESSIONS_DORD,MAJ05_Maintenance_V,MIN0710,1456 ISIT Charge back central,MX_589_PL_MXN,CLL F189 INTEGRATED RCV,Freight,11,Prime Logistics Partners,EUR,USD,427963.26,160.65,0,165.35,0,07/19/2025,08/11/2025,08/31/2025
EDIHZ JGR INC,IN,Security,External Resources,GL,Apex Innovations Ltd,6416115,RES,96501B,7950,407,N87_FE_F,MAJ16_FA_Disposal,MIN0965,1436 ISIT Infra Service Line EUX (End User Experience),MX_839_PL_MXN,Payables,Misc Receipts,27,Essential Services Co,BRL,CAD,759829.55,183.99,0,424.86,0,10/06/2025,10/18/2025,10/28/2025
MATKE UVS INC,IN,DAP,Purchases,GL,Meridian Solutions Corp,6150000,PPC,96501C,7956,200,N94_ENERGY_F,MAJ03_Temporary_Other_Labor_V,MIN0936,9828 Other operational expenses & revenue non allocated,MX_589_PL_MXN,Spreadsheet,Usage Cost,34,Excellence Products Co,USD,BRL,106028.65,789.76,0,389.99,0,01/20/2023,08/08/2023,11/11/2023
IOOVC REE INC,DIR,MF,Capitalized production (PRIM),PO,Nexus Enterprise Holdings,6735000,PPC,98281C,7950,200,N22_FE_F,MAJ11_Income,MIN0410,9650 Other operational expenses & revenues,MX_589_PL_MXN,Payables,CIP Adjustment,46,Modern Equipment Corp,EUR,BRL,192434.31,46.43,0,714.52,0,09/16/2025,09/23/2025,10/07/2025
RGGGU BQW INC,MQ,DIR,Purchases,PO,Nexus Enterprise Holdings,6417705,GRU,14320G,7956,0,N70_DEPRECIATION_F,MAJ20_Cascade_FE_F,MIN2103,1434 ISIT Method & Quality,MX_839_PL_USD,Projects,GL_Supplier,29,Modern Solutions LLC,GBP,MXN,892733.45,323.6,0,861.06,0,05/21/2023,01/20/2025,06/26/2025
OLQYB CRB INC,IN,EUX,Taxes,INV,Nexus Enterprise Holdings,6433000,LAV,14340A,7950,723,N11_MASA_F,MAJ03_Temporary_Other_Labor_V,MIN2071,1472 Allocation unpaid intra group invoices by companies from South America,US_415_PL_USD,Receivables,GL_Intercompany,18,Optimal Resources Inc,MXN,USD,34034.3,60.96,0,739.17,0,04/15/2024,01/02/2025,03/17/2025
RLVOY KBH INC,IN,ES,Purchases,AP,TechnoGlobal Industries,6467702,RIO,14620A,7956,200,N97_FE_F,MAJ04_Salary_Labor_F,MIN0505,1468 ISIT BSS Management,CA_407_PL_CAD,Payables,GL_AutoPrepa,46,Leading Products Corp,BRL,MXN,570874.54,1.38,0,577.61,0,02/22/2024,11/25/2024,08/24/2025
MQAQU MWM INC,BSS,MASS ALLOC,Other expenses,INV,Meridian Solutions Corp,6417999,MTC,14640A,7956,415,N22_FE_F,MAJ16_Restructuring,MIN0420,1468 ISIT BSS Management,BR_414_PL_BRL,,GL_Financial,49,Optimal Resources Inc,BRL,CAD,602434.31,446.25,0,464.06,0,12/08/2024,09/22/2025,10/18/2025
RLVOY KBH INC,MQ,DAP,Depreciation,PA,Apex Innovations Ltd,6116000,RES,14720A,7956,589,N70_DEPRECIATION_F,MAJ20_Cascade_ENERGY_V,MIN0950,1466 ISIT BSS Supply Chain (SC),MX_839_PL_USD,Recurring,GL_AutoPrepa_AutoReverse,4,Essential Materials Ltd,EUR,USD,190680.74,999.73,0,767.41,0,05/13/2025,06/26/2025,09/16/2025
HJDBJ YHW INC,DIR,Group ES,Depreciation,PA,TechnoGlobal Industries,6418709,PPC,96501C,7956,409,N94_ENERGY_F,MAJ20_Cascade_ENERGY_V,MIN0230,1462 ISIT BSS Production Sytems (PS),MX_589_PL_MXN,Spreadsheet,Debit Memos,12,Professional Resources Ltd,EUR,BRL,450431.92,590.83,0,454.75,0,06/16/2023,01/01/2024,03/31/2024
OWPAZ YVR INC,BSS,ES,Travels,GL,Apex Innovations Ltd,6448701,LAV,14360B,7950,567,N99_DEPRECIATION_F,MAJ09_General_Overhead_F,MIN0916,1464 ISIT BSS Research & development (RD),MX_839_PL_USD,,GL_Tax,39,Essential Services Co,CAD,MXN,441888.69,445.18,0,497.17,0,12/20/2023,11/16/2024,05/07/2025
NFQCH BMZ INC,MQ,DIR,Taxes,GL,Apex Innovations Ltd,6468703,GRU,96500N,7956,723,N11_MASA_F,MAJ20_Cascade_ENERGY_F,MIN0840,1466 ISIT BSS Supply Chain (SC),MX_839_PL_USD,Cost Management,GL_Supplier,13,Mega Distribution Group,GBP,MXN,490375.31,235.06,0,450.15,0,09/10/2025,09/11/2025,10/28/2025
BZHXM CJX INC,BSS,D1 DAP,Internal,GL,TechnoGlobal Industries,6468201,MXA,14340A,7956,0,N88_CESSIONS_DORD,MAJ15_Depreciation_F,MIN0936,9828 Other operational expenses & revenue non allocated,MX_839_PL_USD,MICH_EPW_GLJRNLINTF,Debit Memos,44,Innovation Systems Ltd,GBP,MXN,974966.89,131.37,0,729.98,0,07/25/2025,10/07/2025,10/09/2025
SAQQQ NMB INC,IN,QPO,Maintenance & Rental,GL,Quantum Dynamics Group,6458201,PP1,14700A,7950,0,N24_FE_MISC_INCOME_F,MAJ15_Depreciation_F,MIN0420,1464 ISIT BSS Research & development (RD),MX_589_PL_MXN,Recurring,Adjustment,17,Superior Quality Goods,EUR,CAD,428690.84,868.52,0,822.06,0,07/07/2024,01/07/2025,05/03/2025
VAQBY EJY INC,IN,RD,Telecom Data,PO,Quantum Dynamics Group,6063000,MAN,14661C,7956,796,N10_MASA_V,MAJ20_Cascade_DEPRECIATION_F,MIN0960,1456 ISIT Charge back central,CA_407_PL_CAD,,Adjustment,47,Quality Components Ltd,USD,USD,165957.42,991.67,0,391.87,0,03/28/2023,08/07/2025,09/21/2025
TUSER GEK INC,BSS,Maestro,Other expenses,PO,Meridian Solutions Corp,6448106,RES,14480B,7950,723,N22_FE_F,MAJ02_Prod_Maint_Wages_V,MIN0320,1468 ISIT BSS Management,,MassAllocation,Misc Receipts,28,Innovation Industries Corp,USD,CAD,750848.08,413.95,0,25.41,0,05/17/2025,06/04/2025,08/19/2025
QOVUT UCK INC,DIR,Group ES,Depreciation,PO,Quantum Dynamics Group,6116000,MTC,14660A,7956,723,N22_FE_F,MAJ20_Cascade_ENERGY_F,MIN0430,1466 ISIT BSS Supply Chain (SC),US_415_PL_USD,Projects,Sales Invoices,45,Superior Quality Goods,MXN,USD,398570.0,959.45,0,983.79,0,10/26/2024,06/30/2025,08/30/2025
SAQTJ TSI INC,MQ,ES,Purchases,PA,Nexus Enterprise Holdings,6436714,DDD,14480B,7950,0,N23_FE_TRAVEL_F,MAJ15_Depreciation_F,MIN0230,1452 ISIT Infra Management,MX_589_PL_MXN,Assets,Reclass,44,Premier Manufacturing Co,MXN,CAD,395458.51,77.61,0,387.14,0,10/03/2023,07/23/2024,10/15/2025
WFBZY YJW INC,DIR,DAP,Invoices sent,PA,Meridian Solutions Corp,6137000,MXA,14580B,7950,409,N11_MASA_F,MAJ20_Cascade_ENERGY_F,MIN1010,1448 ISIT Infra Transverse operations (GOM),MX_839_PL_MXN,Payables,Depreciation,35,Essential Services Co,GBP,BRL,36810.41,545.44,0,987.0,0,09/20/2025,10/16/2025,10/27/2025
LHIHZ BSA INC,BSS,MASS ALLOC,Telecom Voice,PA,Quantum Dynamics Group,7580000,MAN,14320F,7950,0,N99_DEPRECIATION_F,MAJ07_Transportation_V,MIN1010,1468 ISIT BSS Management,MX_839_PL_MXN,,GL_AutoPrepa,1,Elite Distribution Corp,BRL,MXN,730253.34,84.04,0,60.33,0,12/30/2023,08/18/2025,10/05/2025
WBZHW LZV INC,MQ,DAP,Capitalized production (PRIM),GL,Nexus Enterprise Holdings,6221000,MXA,96501B,7956,567,N99_DEPRECIATION_F,MAJ16_FA_Disposal,MIN1630,1448 ISIT Infra Transverse operations (GOM),BR_414_PL_BRL,Payables,GL_AutoPrepa,18,Elite Distribution Corp,EUR,MXN,200372.47,403.01,0,0.01,0,05/24/2025,09/13/2025,10/22/2025
VAQBY EJY INC,DIR,D1 DAP,Other expenses,PO,Meridian Solutions Corp,6808000,MXA,14640A,7950,0,N94_ENERGY_F,MAJ09_General_Overhead_V,MIN0940,1470 ISIT BSS IS Region managers (ISRM),MX_839_PL_MXN,Payables,GL_Supplier_Auto_Reversal,3,Reliable Manufacturing Group,GBP,MXN,75863.72,386.26,0,177.3,0,04/25/2025,06/22/2025,07/01/2025
NDWBY MQJ INC,DIR,Group ES,Taxes,PA,Apex Innovations Ltd,6433000,MAN,14440A,7950,407,N70_DEPRECIATION_F,MAJ04_Salary_Labor_F,MIN0520,1468 ISIT BSS Management,,Manual,GL_AutoPrepa_AutoReverse,27,Progressive Technologies,MXN,MXN,4193.09,207.64,0,479.69,0,10/17/2023,04/05/2024,07/12/2025
PXDVD SUV INC,DIR,Infra - Projects,Purchases,GL,Apex Innovations Ltd,6438714,MTC,14562Z,7950,409,N70_DEPRECIATION_F,MAJ20_Cascade_ENERGY_V,MIN0925,1444 ISIT Infra Service Line NET (Network),MX_589_PL_MXN,,Labor Cost,3,Prime Components Group,CAD,CAD,103753.65,112.53,0,892.63,0,07/20/2023,05/20/2025,09/26/2025
LXZUG ARL INC,IN,Infra - Projects,Invoices sent,GL,Nexus Enterprise Holdings,6467701,PPC,14320F,7950,589,N22_FE_F,MAJ20_Cascade_ENERGY_V,MIN0919,1462 ISIT BSS Production Sytems (PS),MX_839_PL_USD,Cost Management,GL_Financial,29,Modern Solutions LLC,CAD,USD,387768.41,76.88,0,549.14,0,08/27/2023,07/13/2025,10/31/2025
LTGLQ JTB INC,IN,OPEN,Training,PA,Quantum Dynamics Group,9820291,RIO,14600A,7950,567,N10_MASA_V,MAJ20_Allocation_MASA_F,MIN1620,1470 ISIT BSS IS Region managers (ISRM),MX_839_PL_USD,MICH_CAW_GLJRNLINTF,GL_AutoPrepa,21,Prime Logistics Partners,CAD,BRL,588083.83,656.26,0,987.49,0,08/25/2025,10/13/2025,10/19/2025
ZTMRZ ONO INC,BSS,Group ES,Depreciation,PO,TechnoGlobal Industries,6041000,DDD,14360B,7956,589,N81_MASA_F,MAJ05_Maintenance_F,MIN0845,1472 Allocation unpaid intra group invoices by companies from South America,,MICH_CAW_GLJRNLINTF,Reclass,48,Progressive Manufacturing,MXN,MXN,984644.37,12.98,0,215.14,0,03/18/2024,01/25/2025,03/14/2025
AHHFA AEA INC,IN,DEV,Travels,INV,Apex Innovations Ltd,6252100,CGR,14320J,7950,0,N70_DEPRECIATION_F,MAJ20_Cascade_ENERGY_V,MIN0916,9650 Other operational expenses & revenues,MX_839_PL_MXN,,GL_Equity,7,Precision Parts Corp,GBP,BRL,999600.02,389.29,0,547.54,0,04/01/2023,12/24/2024,01/17/2025
ISWUE KJZ INC,MQ,IN DIR,External Resources,PA,Quantum Dynamics Group,6252000,CGR,14700A,7950,407,N30_ENERGY_V,MAJ20_Cascade_FE_F,MIN0521,1436 ISIT Infra Service Line EUX (End User Experience),MX_839_PL_MXN,MICH_EPW_GLJRNLINTF,GL_Tax,19,Optimal Resources Inc,MXN,USD,839243.85,135.35,0,91.92,0,08/19/2025,09/08/2025,10/11/2025
WIOBG PIF INC,BSS,MF,Maintenance & Rental,GL,Nexus Enterprise Holdings,6418708,PP1,14700A,7950,200,N11_MASA_F,MAJ05_Maintenance_F,MIN0710,1466 ISIT BSS Supply Chain (SC),MX_839_PL_MXN,Manual,GL_Accrual_Auto_Reversal,29,Mega Distribution Group,MXN,MXN,236418.98,568.35,0,901.03,0,05/16/2023,12/06/2023,08/01/2025
YWWXQ NZI INC,MQ,MQ,Travels,GL,Meridian Solutions Corp,6808000,LAV,14580B,7956,407,N30_ENERGY_V,MAJ15_Depreciation_F,MIN2076,1436 ISIT Infra Service Line EUX (End User Experience),CA_407_PL_CAD,,GL_Supplier,4,First Class Services Ltd,USD,MXN,691490.29,474.56,0,266.27,0,02/02/2024,07/13/2024,09/02/2025
SHSWX NXN INC,IN,OPEN,Salaries,PA,Nexus Enterprise Holdings,6418706,PP1,14680C,7950,723,N30_ENERGY_V,MAJ21_Allocation_DORD,MIN0511,1436 ISIT Infra Service Line EUX (End User Experience),MX_589_PL_MXN,MICH_CAW_GLJRNLINTF,GL_AutoPrepa,12,Professional Services Corp,GBP,CAD,98595.38,228.99,0,212.84,0,05/07/2024,10/06/2024,04/15/2025
VTXBP GUD INC,IN,OTHER OP,Travels,PA,Meridian Solutions Corp,6419100,LAV,14600B,7950,409,N30_ENERGY_V,MAJ04_Salary_Labor_F,MIN0918,1472 Allocation unpaid intra group invoices by companies from South America,MX_839_PL_MXN,Payables,GL_Tax,34,Mega Solutions LLC,MXN,CAD,42009.14,331.41,0,514.51,0,01/05/2024,07/04/2024,12/31/2024
AFLZW ZXA INC,BSS,Group ES,Telecom Data,INV,TechnoGlobal Industries,6467202,GRU,96500Q,7956,567,N99_DEPRECIATION_F,MAJ04_Salary_Labor_F,MIN0920,1436 ISIT Infra Service Line EUX (End User Experience),MX_839_PL_MXN,CLL F189 INTEGRATED RCV,GL_Tax,40,Essential Materials Ltd,GBP,USD,323093.7,487.56,0,841.81,0,05/15/2024,02/25/2025,07/01/2025
UJISA PZT INC,BSS,DIR,External Resources,PO,TechnoGlobal Industries,6447105,RES,14700A,7950,567,N81_MASA_F,MAJ05_Maintenance_V,MIN0940,9650 Other operational expenses & revenues,,Assets,Misc Receipts,8,Premier Logistics Co,USD,CAD,735095.05,973.27,0,947.88,0,10/10/2025,10/19/2025,10/22/2025
GJDXG BUB INC,MQ,Group ES,Telecom Voice,PA,Meridian Solutions Corp,6078000,RIO,14600A,7950,589,N97_FE_F,MAJ09_General_Overhead_V,MIN0511,1440 ISIT Infra Data centre & applications platforms (DAP),US_415_PL_USD,Manual,Usage Cost,14,Integrated Solutions Ltd,USD,CAD,639514.75,297.52,0,824.65,0,09/03/2024,10/12/2025,10/30/2025
