Rgpt New Report,Detail,Supplier,Rgpt 2,Rgpt EURSI,Zone,Fcst 24 tx 24,Fcst 25 tx 25,fcst 26x forecast taux 25,company,Domain,DOMAIN,SL,Sourcing DB currency,Company currency,Dashboard currency Use,Generic suContracts,Reference Name of t Contract,Domain
NA,XX,2,5,3,EMEA,21.82,60.508,33.402,415 - ABC,ASSI,BS,,BRL,USD,EUR,BSS-Other SA-MS3C-20210618,415 - ABC BSS-Other,BS
NA,NA,1,1,5,AMERICAS,60.716,8.108,29.64,415 - ABC,ASSI,BS,,USD,BRL,USD,BSS-Thom SA-MS3C-20180402,415 - ABC BSS-Thom,BS
NA,XX,3,4,1,APAC,4.938,73.733,31.468,415 - ABC,FIN,BS,,BRL,EUR,USD,BSS-Other SA-MS3C-20100111,415 - ABC BSS-Other,BS
OK,XX,2,2,0,AMERICAS,47.813,56.061,52.192,415 - ABC,OPS,BS,,EUR,USD,EUR,BSS-Senio SA-MS3C-20140422,415 - ABC BSS-Senio,BS
NA,NA,5,2,2,AMERICAS,48.301,83.153,41.898,415 - ABC,FIN,BS,,USD,USD,EUR,BSS-Thom SA-MS3C-20220803,415 - ABC BSS-Thom,BS
NA,XX,1,1,0,APAC,37.077,67.364,8.372,416 - XYZ,ASSI,BS,,BRL,USD,USD,BSS-Thom SA-MS3C-20130515,416 - XYZ BSS-Thom,BS
NA,NA,3,4,0,EMEA,58.102,70.508,16.263,415 - ABC,ASSI,BS,,BRL,BRL,EUR,BSS-Config SA-MS3C-20140804,415 - ABC BSS-Config,BS
OK,NA,1,1,2,APAC,32.228,15.798,31.987,414 - SML,FIN,BS,,USD,EUR,EUR,BSS-Senio SA-MS3C-20161123,414 - SML BSS-Senio,BS
NA,BS,4,0,1,AMERICAS,30.164,25.936,29.525,414 - SML,ASSI,BS,,USD,USD,USD,BSS-Senio SA-MS3C-20231203,414 - SML BSS-Senio,BS
OK,BS,4,0,5,AMERICAS,79.019,30.908,79.974,415 - ABC,FIN,BS,,BRL,EUR,EUR,BSS-Travel SA-MS3C-20181013,415 - ABC BSS-Travel,BS
OK,NA,3,5,3,APAC,13.292,45.189,79.997,415 - ABC,FIN,BS,,BRL,USD,USD,BSS-Other SA-MS3C-20110327,415 - ABC BSS-Other,BS
OK,XX,3,0,2,AMERICAS,14.521,35.345,11.166,415 - ABC,ASSI,BS,,BRL,EUR,USD,BSS-Other SA-MS3C-20160818,415 - ABC BSS-Other,BS
NA,XX,4,1,5,EMEA,23.579,31.218,24.03,414 - SML,OPS,BS,,EUR,EUR,USD,BSS-Config SA-MS3C-20110608,414 - SML BSS-Config,BS
NA,XX,0,1,0,EMEA,12.079,26.955,24.779,415 - ABC,OPS,BS,,BRL,USD,USD,BSS-Train SA-MS3C-20071205,415 - ABC BSS-Train,BS
NA,NA,2,2,4,APAC,26.829,89.654,88.673,416 - XYZ,OPS,BS,,BRL,BRL,EUR,BSS-Taxes SA-MS3C-20111118,416 - XYZ BSS-Taxes,BS
NA,NA,0,5,5,AMERICAS,87.972,19.497,12.839,414 - SML,ASSI,BS,,BRL,EUR,USD,BSS-Senio SA-MS3C-20110503,414 - SML BSS-Senio,BS
OK,XX,0,1,5,EMEA,30.773,49.398,81.117,416 - XYZ,FIN,BS,,USD,USD,EUR,BSS-Travel SA-MS3C-20091119,416 - XYZ BSS-Travel,BS
NA,BS,1,5,4,AMERICAS,55.963,29.298,87.13,415 - ABC,FIN,BS,,USD,USD,EUR,BSS-Travel SA-MS3C-20130425,415 - ABC BSS-Travel,BS
NA,BS,0,0,2,EMEA,80.413,46.584,6.625,414 - SML,OPS,BS,,USD,EUR,USD,BSS-Travel SA-MS3C-20080219,414 - SML BSS-Travel,BS
OK,BS,3,2,4,AMERICAS,72.246,65.391,21.535,416 - XYZ,OPS,BS,,USD,EUR,USD,BSS-Taxes SA-MS3C-20180217,416 - XYZ BSS-Taxes,BS
NA,NA,4,1,0,AMERICAS,95.996,12.999,10.989,415 - ABC,ASSI,BS,,EUR,BRL,USD,BSS-Config SA-MS3C-20150625,415 - ABC BSS-Config,BS
NA,XX,3,0,3,APAC,60.989,34.113,38.562,415 - ABC,ASSI,BS,,EUR,EUR,EUR,BSS-Sawl SA-MS3C-20100927,415 - ABC BSS-Sawl,BS
OK,NA,5,5,4,APAC,5.635,15.31,12.313,415 - ABC,OPS,BS,,EUR,EUR,EUR,BSS-Taxes SA-MS3C-20100702,415 - ABC BSS-Taxes,BS
OK,NA,1,2,1,APAC,72.318,19.476,77.18,416 - XYZ,FIN,BS,,USD,BRL,USD,BSS-Config SA-MS3C-20051114,416 - XYZ BSS-Config,BS
OK,BS,0,5,0,EMEA,22.934,54.754,65.784,414 - SML,OPS,BS,,BRL,EUR,EUR,BSS-Sawl SA-MS3C-20170202,414 - SML BSS-Sawl,BS
OK,NA,4,1,3,EMEA,84.956,98.113,18.826,415 - ABC,OPS,BS,,EUR,BRL,USD,BSS-Taxes SA-MS3C-20121111,415 - ABC BSS-Taxes,BS
NA,BS,3,3,3,APAC,31.89,22.998,17.339,416 - XYZ,ASSI,BS,,EUR,USD,EUR,BSS-Thom SA-MS3C-20150705,416 - XYZ BSS-Thom,BS
NA,BS,3,5,2,AMERICAS,65.583,31.076,62.732,415 - ABC,OPS,BS,,USD,USD,USD,BSS-Senio SA-MS3C-20200227,415 - ABC BSS-Senio,BS
NA,NA,3,5,0,AMERICAS,6.64,12.917,83.083,414 - SML,ASSI,BS,,EUR,BRL,EUR,BSS-Travel SA-MS3C-20240820,414 - SML BSS-Travel,BS
NA,NA,5,4,5,EMEA,86.153,21.723,64.893,414 - SML,FIN,BS,,EUR,EUR,EUR,BSS-Sawl SA-MS3C-20220209,414 - SML BSS-Sawl,BS
OK,BS,4,2,5,APAC,1.495,75.088,79.281,414 - SML,FIN,BS,,EUR,EUR,USD,BSS-Other SA-MS3C-20151025,414 - SML BSS-Other,BS
OK,NA,0,4,3,EMEA,78.845,14.176,61.819,416 - XYZ,FIN,BS,,USD,BRL,USD,BSS-Senio SA-MS3C-20181010,416 - XYZ BSS-Senio,BS
OK,XX,3,5,5,AMERICAS,64.685,54.826,78.078,414 - SML,ASSI,BS,,USD,BRL,EUR,BSS-Sawl SA-MS3C-20250419,414 - SML BSS-Sawl,BS
OK,XX,2,4,5,AMERICAS,55.186,15.44,######,414 - SML,ASSI,BS,,EUR,EUR,EUR,BSS-Train SA-MS3C-20081022,414 - SML BSS-Train,BS
OK,XX,4,0,1,EMEA,35.228,23.341,27.261,414 - SML,OPS,BS,,USD,USD,USD,BSS-Thom SA-MS3C-20101213,414 - SML BSS-Thom,BS
OK,XX,0,5,3,APAC,39.347,81.841,57.265,416 - XYZ,FIN,BS,,USD,USD,USD,BSS-Train SA-MS3C-20140724,416 - XYZ BSS-Train,BS
NA,NA,5,2,2,EMEA,48.171,47.683,13.641,414 - SML,ASSI,BS,,USD,USD,USD,BSS-Other SA-MS3C-20250312,414 - SML BSS-Other,BS
NA,XX,0,4,4,APAC,37.339,1.765,95.733,416 - XYZ,OPS,BS,,USD,BRL,EUR,BSS-Config SA-MS3C-20120712,416 - XYZ BSS-Config,BS
OK,NA,3,0,4,APAC,40.433,3.546,33.734,414 - SML,ASSI,BS,,USD,EUR,EUR,BSS-Other SA-MS3C-20080509,414 - SML BSS-Other,BS
OK,NA,0,3,5,AMERICAS,68.264,30.923,56.089,416 - XYZ,ASSI,BS,,USD,EUR,USD,BSS-Thom SA-MS3C-20201017,416 - XYZ BSS-Thom,BS
NA,NA,4,5,0,AMERICAS,27.091,8.1,68.559,416 - XYZ,FIN,BS,,EUR,EUR,EUR,BSS-Thom SA-MS3C-20061216,416 - XYZ BSS-Thom,BS
NA,BS,2,2,2,EMEA,95.012,10.116,9.791,415 - ABC,ASSI,BS,,USD,USD,USD,BSS-Travel SA-MS3C-20231027,415 - ABC BSS-Travel,BS
OK,NA,4,2,1,APAC,45.143,49.96,36.165,416 - XYZ,ASSI,BS,,EUR,USD,EUR,BSS-Taxes SA-MS3C-20151001,416 - XYZ BSS-Taxes,BS
OK,BS,1,4,1,AMERICAS,######,60.753,2.311,416 - XYZ,FIN,BS,,EUR,USD,USD,BSS-Taxes SA-MS3C-20110312,416 - XYZ BSS-Taxes,BS
NA,BS,0,5,5,APAC,75.549,23.05,67.195,415 - ABC,OPS,BS,,EUR,USD,USD,BSS-Other SA-MS3C-20220727,415 - ABC BSS-Other,BS
OK,NA,2,0,4,AMERICAS,57.944,62.126,91.007,416 - XYZ,FIN,BS,,USD,EUR,EUR,BSS-Sawl SA-MS3C-20230417,416 - XYZ BSS-Sawl,BS
OK,NA,5,5,2,APAC,38.32,9.899,60.874,414 - SML,ASSI,BS,,USD,USD,USD,BSS-Sawl SA-MS3C-20170209,414 - SML BSS-Sawl,BS
NA,BS,0,1,0,AMERICAS,11.001,90.744,61.174,416 - XYZ,OPS,BS,,EUR,USD,USD,BSS-Travel SA-MS3C-20110122,416 - XYZ BSS-Travel,BS
NA,NA,1,4,5,EMEA,48.422,82.831,17.842,414 - SML,OPS,BS,,EUR,BRL,USD,BSS-Travel SA-MS3C-20170625,414 - SML BSS-Travel,BS
OK,NA,1,4,3,AMERICAS,75.637,30.812,71.963,415 - ABC,ASSI,BS,,USD,BRL,EUR,BSS-Train SA-MS3C-20120114,415 - ABC BSS-Train,BS
NA,XX,4,2,2,EMEA,72.826,2.105,98.3,416 - XYZ,FIN,BS,,EUR,EUR,EUR,BSS-Train SA-MS3C-20241119,416 - XYZ BSS-Train,BS
OK,XX,4,2,2,AMERICAS,6.198,8.161,43.257,415 - ABC,FIN,BS,,USD,BRL,EUR,BSS-Thom SA-MS3C-20061120,415 - ABC BSS-Thom,BS
OK,NA,2,3,3,AMERICAS,36.164,2.184,55.876,416 - XYZ,OPS,BS,,USD,BRL,EUR,BSS-Train SA-MS3C-20241227,416 - XYZ BSS-Train,BS
NA,NA,2,5,2,APAC,11.576,16.869,44.003,414 - SML,FIN,BS,,BRL,USD,USD,BSS-Config SA-MS3C-20220926,414 - SML BSS-Config,BS
NA,BS,3,4,5,APAC,15.627,69.31,######,416 - XYZ,ASSI,BS,,USD,USD,USD,BSS-Other SA-MS3C-20210202,416 - XYZ BSS-Other,BS
NA,BS,2,4,0,EMEA,19.26,66.909,97.91,415 - ABC,OPS,BS,,BRL,USD,USD,BSS-Sawl SA-MS3C-20171212,415 - ABC BSS-Sawl,BS
NA,BS,1,4,3,EMEA,52.849,27.239,64.517,414 - SML,FIN,BS,,BRL,USD,EUR,BSS-Travel SA-MS3C-20121016,414 - SML BSS-Travel,BS
OK,XX,5,5,5,APAC,94.554,59.14,95.969,415 - ABC,OPS,BS,,EUR,EUR,EUR,BSS-Sawl SA-MS3C-20150807,415 - ABC BSS-Sawl,BS
NA,BS,5,3,2,AMERICAS,92.465,14.794,50.478,416 - XYZ,FIN,BS,,BRL,USD,EUR,BSS-Train SA-MS3C-20240802,416 - XYZ BSS-Train,BS
OK,XX,5,4,4,APAC,93.125,93.41,57.846,414 - SML,OPS,BS,,EUR,EUR,USD,BSS-Senio SA-MS3C-20140119,414 - SML BSS-Senio,BS
OK,NA,3,2,0,APAC,78.733,64.578,67.064,415 - ABC,ASSI,BS,,EUR,BRL,USD,BSS-Sawl SA-MS3C-20100628,415 - ABC BSS-Sawl,BS
OK,XX,2,0,2,APAC,28.962,77.095,75.047,416 - XYZ,FIN,BS,,BRL,EUR,EUR,BSS-Taxes SA-MS3C-20200413,416 - XYZ BSS-Taxes,BS
OK,NA,3,0,2,EMEA,49.126,51.385,54.186,416 - XYZ,FIN,BS,,EUR,USD,EUR,BSS-Taxes SA-MS3C-20100602,416 - XYZ BSS-Taxes,BS
NA,XX,5,2,4,APAC,6.079,73.827,58.912,416 - XYZ,OPS,BS,,USD,USD,EUR,BSS-Thom SA-MS3C-20170221,416 - XYZ BSS-Thom,BS
OK,BS,5,3,2,APAC,86.107,######,44.167,414 - SML,ASSI,BS,,USD,USD,EUR,BSS-Thom SA-MS3C-20120402,414 - SML BSS-Thom,BS
OK,BS,2,5,3,APAC,50.182,71.772,6.788,415 - ABC,ASSI,BS,,BRL,EUR,USD,BSS-Taxes SA-MS3C-20220727,415 - ABC BSS-Taxes,BS
NA,BS,2,5,1,AMERICAS,42.231,54.523,72.468,415 - ABC,OPS,BS,,BRL,BRL,EUR,BSS-Other SA-MS3C-20120523,415 - ABC BSS-Other,BS
NA,XX,3,4,0,EMEA,40.46,91.395,65.974,415 - ABC,ASSI,BS,,USD,BRL,USD,BSS-Taxes SA-MS3C-20170927,415 - ABC BSS-Taxes,BS
OK,XX,3,5,3,AMERICAS,40.032,64.388,75.959,416 - XYZ,ASSI,BS,,USD,BRL,USD,BSS-Config SA-MS3C-20130106,416 - XYZ BSS-Config,BS
OK,BS,0,0,3,APAC,25.74,60.765,4.043,415 - ABC,OPS,BS,,EUR,USD,EUR,BSS-Travel SA-MS3C-20200426,415 - ABC BSS-Travel,BS
NA,XX,5,3,3,AMERICAS,47.869,######,35.806,415 - ABC,OPS,BS,,BRL,USD,USD,BSS-Other SA-MS3C-20120227,415 - ABC BSS-Other,BS
OK,XX,0,2,0,APAC,27.034,36.615,44.439,416 - XYZ,OPS,BS,,BRL,USD,EUR,BSS-Thom SA-MS3C-20050316,416 - XYZ BSS-Thom,BS
OK,BS,1,0,0,APAC,36.911,96.518,34.85,414 - SML,FIN,BS,,BRL,BRL,EUR,BSS-Sawl SA-MS3C-20120323,414 - SML BSS-Sawl,BS
OK,BS,5,0,3,APAC,63.064,######,63.226,416 - XYZ,ASSI,BS,,EUR,USD,USD,BSS-Config SA-MS3C-20200520,416 - XYZ BSS-Config,BS
NA,BS,5,5,2,APAC,87.736,16.692,28.523,414 - SML,OPS,BS,,BRL,EUR,EUR,BSS-Taxes SA-MS3C-20180523,414 - SML BSS-Taxes,BS
NA,XX,2,2,2,APAC,90.026,42.171,8.433,414 - SML,FIN,BS,,EUR,USD,EUR,BSS-Taxes SA-MS3C-20211024,414 - SML BSS-Taxes,BS
NA,NA,3,3,2,APAC,6.849,51.718,50.896,416 - XYZ,OPS,BS,,EUR,EUR,USD,BSS-Travel SA-MS3C-20080913,416 - XYZ BSS-Travel,BS
OK,BS,1,3,0,EMEA,66.546,30.374,47.909,414 - SML,OPS,BS,,BRL,EUR,EUR,BSS-Other SA-MS3C-20120522,414 - SML BSS-Other,BS
OK,NA,5,0,4,AMERICAS,64.762,88.739,12.727,416 - XYZ,ASSI,BS,,USD,EUR,EUR,BSS-Senio SA-MS3C-20250716,416 - XYZ BSS-Senio,BS
NA,NA,0,2,2,EMEA,26.396,11.099,84.774,416 - XYZ,FIN,BS,,EUR,EUR,EUR,BSS-Senio SA-MS3C-20070707,416 - XYZ BSS-Senio,BS
OK,XX,5,3,1,AMERICAS,62.422,11.937,6.429,415 - ABC,OPS,BS,,USD,BRL,USD,BSS-Senio SA-MS3C-20100216,415 - ABC BSS-Senio,BS
NA,XX,5,5,0,EMEA,45.336,80.96,70.928,416 - XYZ,FIN,BS,,EUR,USD,EUR,BSS-Config SA-MS3C-20190906,416 - XYZ BSS-Config,BS
OK,NA,0,4,2,AMERICAS,79.556,69.705,35.716,414 - SML,OPS,BS,,USD,EUR,USD,BSS-Config SA-MS3C-20130310,414 - SML BSS-Config,BS
OK,NA,4,3,2,EMEA,74.659,41.768,11.234,414 - SML,OPS,BS,,EUR,USD,EUR,BSS-Taxes SA-MS3C-20100328,414 - SML BSS-Taxes,BS
NA,BS,4,0,1,APAC,55.221,86.928,1.534,414 - SML,FIN,BS,,BRL,USD,EUR,BSS-Taxes SA-MS3C-20180519,414 - SML BSS-Taxes,BS
NA,XX,5,0,0,APAC,28.07,17.293,40.896,414 - SML,ASSI,BS,,USD,EUR,EUR,BSS-Sawl SA-MS3C-20140918,414 - SML BSS-Sawl,BS
OK,XX,2,1,5,APAC,53.503,7.884,19.354,414 - SML,OPS,BS,,EUR,EUR,USD,BSS-Train SA-MS3C-20171212,414 - SML BSS-Train,BS
OK,NA,0,5,4,APAC,86.25,8.623,26.697,416 - XYZ,FIN,BS,,BRL,BRL,EUR,BSS-Other SA-MS3C-20070626,416 - XYZ BSS-Other,BS
NA,BS,3,3,3,EMEA,97.681,65.385,7.732,416 - XYZ,ASSI,BS,,BRL,BRL,EUR,BSS-Other SA-MS3C-20180223,416 - XYZ BSS-Other,BS
NA,XX,5,4,0,APAC,28.621,15.269,97.057,416 - XYZ,FIN,BS,,USD,EUR,USD,BSS-Taxes SA-MS3C-20220326,416 - XYZ BSS-Taxes,BS
NA,XX,4,1,1,EMEA,73.122,50.301,62.283,416 - XYZ,OPS,BS,,USD,BRL,EUR,BSS-Taxes SA-MS3C-20150216,416 - XYZ BSS-Taxes,BS
OK,BS,3,4,0,EMEA,85.698,6.881,55.179,416 - XYZ,OPS,BS,,EUR,USD,EUR,BSS-Train SA-MS3C-20230407,416 - XYZ BSS-Train,BS
NA,BS,1,3,2,APAC,59.681,38.087,50.342,414 - SML,OPS,BS,,USD,EUR,EUR,BSS-Thom SA-MS3C-20230812,414 - SML BSS-Thom,BS
OK,NA,0,5,0,APAC,20.327,93.476,92.616,416 - XYZ,FIN,BS,,USD,USD,USD,BSS-Senio SA-MS3C-20161016,416 - XYZ BSS-Senio,BS
OK,BS,5,0,0,APAC,24.685,98.889,84.878,414 - SML,ASSI,BS,,BRL,USD,USD,BSS-Train SA-MS3C-20180105,414 - SML BSS-Train,BS
NA,XX,3,0,0,EMEA,11.274,84.622,58.422,414 - SML,ASSI,BS,,EUR,BRL,EUR,BSS-Sawl SA-MS3C-20241220,414 - SML BSS-Sawl,BS
NA,NA,5,4,5,AMERICAS,58.877,66.562,64.089,416 - XYZ,ASSI,BS,,EUR,USD,EUR,BSS-Config SA-MS3C-20071219,416 - XYZ BSS-Config,BS
NA,BS,4,0,1,EMEA,29.384,49.463,24.211,414 - SML,ASSI,BS,,USD,EUR,EUR,BSS-Train SA-MS3C-20221218,414 - SML BSS-Train,BS
NA,BS,2,3,5,EMEA,48.546,67.028,46.273,416 - XYZ,ASSI,BS,,BRL,BRL,USD,BSS-Thom SA-MS3C-20200312,416 - XYZ BSS-Thom,BS
OK,BS,5,3,5,APAC,34.35,74.961,63.292,416 - XYZ,OPS,BS,,USD,EUR,EUR,BSS-Sawl SA-MS3C-20090523,416 - XYZ BSS-Sawl,BS
OK,NA,5,3,1,AMERICAS,47.866,77.107,75.304,415 - ABC,ASSI,BS,,EUR,USD,EUR,BSS-Train SA-MS3C-20121110,415 - ABC BSS-Train,BS
NA,BS,1,5,0,EMEA,52.205,48.506,48.629,415 - ABC,ASSI,BS,,BRL,USD,EUR,BSS-Travel SA-MS3C-20091122,415 - ABC BSS-Travel,BS
OK,BS,5,4,5,AMERICAS,9.105,16.809,3.396,416 - XYZ,ASSI,BS,,USD,EUR,USD,BSS-Taxes SA-MS3C-20090815,416 - XYZ BSS-Taxes,BS
OK,XX,5,3,2,APAC,35.946,89.715,######,414 - SML,ASSI,BS,,BRL,USD,EUR,BSS-Travel SA-MS3C-20180402,414 - SML BSS-Travel,BS
NA,BS,0,1,4,AMERICAS,39.936,84.97,79.618,416 - XYZ,OPS,BS,,BRL,USD,EUR,BSS-Train SA-MS3C-20160311,416 - XYZ BSS-Train,BS
NA,BS,3,1,4,AMERICAS,80.107,41.207,81.531,415 - ABC,ASSI,BS,,BRL,USD,USD,BSS-Taxes SA-MS3C-20140823,415 - ABC BSS-Taxes,BS
OK,NA,0,0,4,EMEA,5.456,67.53,77.883,414 - SML,ASSI,BS,,USD,EUR,EUR,BSS-Config SA-MS3C-20160611,414 - SML BSS-Config,BS
NA,BS,1,3,4,AMERICAS,96.622,30.694,92.393,414 - SML,ASSI,BS,,USD,USD,USD,BSS-Sawl SA-MS3C-20190314,414 - SML BSS-Sawl,BS
NA,BS,0,1,4,APAC,6.209,96.875,17.901,415 - ABC,OPS,BS,,BRL,EUR,EUR,BSS-Thom SA-MS3C-20080604,415 - ABC BSS-Thom,BS
OK,NA,2,0,2,EMEA,31.897,90.361,57.434,416 - XYZ,OPS,BS,,BRL,USD,EUR,BSS-Taxes SA-MS3C-20080311,416 - XYZ BSS-Taxes,BS
OK,NA,3,4,2,EMEA,7.817,81.297,21.723,416 - XYZ,FIN,BS,,EUR,USD,USD,BSS-Senio SA-MS3C-20241028,416 - XYZ BSS-Senio,BS
NA,BS,1,1,2,EMEA,34.121,63.104,25.185,414 - SML,ASSI,BS,,BRL,USD,EUR,BSS-Taxes SA-MS3C-20110817,414 - SML BSS-Taxes,BS
NA,NA,2,0,1,APAC,8.38,2.558,35.218,414 - SML,ASSI,BS,,USD,BRL,USD,BSS-Thom SA-MS3C-20111020,414 - SML BSS-Thom,BS
OK,NA,2,0,2,APAC,44.884,41.311,27.364,415 - ABC,OPS,BS,,USD,USD,EUR,BSS-Taxes SA-MS3C-20141004,415 - ABC BSS-Taxes,BS
NA,NA,2,3,5,EMEA,40.979,64.726,66.039,414 - SML,OPS,BS,,USD,BRL,EUR,BSS-Taxes SA-MS3C-20081120,414 - SML BSS-Taxes,BS
NA,XX,3,4,2,APAC,44.974,56.675,96.49,416 - XYZ,OPS,BS,,BRL,EUR,USD,BSS-Config SA-MS3C-20181016,416 - XYZ BSS-Config,BS
OK,BS,5,2,0,AMERICAS,91.649,58.244,28.833,416 - XYZ,FIN,BS,,USD,BRL,USD,BSS-Config SA-MS3C-20220827,416 - XYZ BSS-Config,BS
NA,XX,0,4,5,AMERICAS,75.954,92.242,74.406,415 - ABC,OPS,BS,,USD,BRL,USD,BSS-Taxes SA-MS3C-20170302,415 - ABC BSS-Taxes,BS
NA,XX,0,2,5,EMEA,21.8,70.193,53.369,416 - XYZ,OPS,BS,,BRL,BRL,USD,BSS-Sawl SA-MS3C-20180604,416 - XYZ BSS-Sawl,BS
NA,XX,3,0,0,EMEA,53.65,98.94,######,414 - SML,ASSI,BS,,USD,BRL,EUR,BSS-Travel SA-MS3C-20160817,414 - SML BSS-Travel,BS
OK,XX,1,2,1,APAC,91.622,53.432,56.902,416 - XYZ,OPS,BS,,EUR,EUR,EUR,BSS-Senio SA-MS3C-20171016,416 - XYZ BSS-Senio,BS
OK,NA,4,2,3,APAC,71.507,21.76,69.383,415 - ABC,OPS,BS,,EUR,BRL,USD,BSS-Thom SA-MS3C-20120804,415 - ABC BSS-Thom,BS
OK,XX,0,4,1,APAC,49.751,64.654,37.381,416 - XYZ,ASSI,BS,,USD,BRL,EUR,BSS-Travel SA-MS3C-20130516,416 - XYZ BSS-Travel,BS
OK,NA,2,2,3,APAC,87.865,25.802,43.558,415 - ABC,OPS,BS,,BRL,EUR,USD,BSS-Sawl SA-MS3C-20190928,415 - ABC BSS-Sawl,BS
NA,XX,4,0,5,EMEA,6.426,42.094,65.206,414 - SML,FIN,BS,,BRL,USD,EUR,BSS-Taxes SA-MS3C-20240827,414 - SML BSS-Taxes,BS
OK,BS,3,4,4,AMERICAS,8.513,70.795,######,416 - XYZ,OPS,BS,,BRL,USD,USD,BSS-Senio SA-MS3C-20120405,416 - XYZ BSS-Senio,BS
NA,XX,0,3,2,APAC,######,7.434,96.739,416 - XYZ,OPS,BS,,EUR,BRL,EUR,BSS-Sawl SA-MS3C-20200228,416 - XYZ BSS-Sawl,BS
OK,NA,1,5,4,EMEA,27.778,6.067,26.731,414 - SML,ASSI,BS,,EUR,BRL,USD,BSS-Travel SA-MS3C-20151209,414 - SML BSS-Travel,BS
OK,XX,0,4,4,AMERICAS,64.731,74.511,12.166,415 - ABC,FIN,BS,,USD,BRL,EUR,BSS-Thom SA-MS3C-20161023,415 - ABC BSS-Thom,BS
OK,NA,5,0,1,AMERICAS,58.048,######,57.595,414 - SML,OPS,BS,,EUR,EUR,EUR,BSS-Config SA-MS3C-20110922,414 - SML BSS-Config,BS
NA,BS,1,0,1,AMERICAS,86.453,47.919,39.02,416 - XYZ,ASSI,BS,,EUR,USD,EUR,BSS-Config SA-MS3C-20181013,416 - XYZ BSS-Config,BS
OK,NA,1,1,4,APAC,43.295,24.227,52.413,415 - ABC,ASSI,BS,,EUR,USD,EUR,BSS-Other SA-MS3C-20190315,415 - ABC BSS-Other,BS
NA,NA,3,1,0,AMERICAS,42.914,20.853,60.553,415 - ABC,FIN,BS,,USD,USD,USD,BSS-Config SA-MS3C-20210119,415 - ABC BSS-Config,BS
OK,NA,4,1,4,AMERICAS,48.994,3.796,26.989,414 - SML,FIN,BS,,USD,USD,EUR,BSS-Taxes SA-MS3C-20080601,414 - SML BSS-Taxes,BS
NA,BS,2,0,2,AMERICAS,85.209,64.623,1.225,414 - SML,ASSI,BS,,EUR,BRL,USD,BSS-Taxes SA-MS3C-20140420,414 - SML BSS-Taxes,BS
OK,BS,1,1,0,AMERICAS,70.042,7.352,54.805,415 - ABC,FIN,BS,,USD,BRL,USD,BSS-Config SA-MS3C-20250817,415 - ABC BSS-Config,BS
NA,NA,3,0,4,AMERICAS,62.924,96.02,36.397,416 - XYZ,ASSI,BS,,USD,USD,EUR,BSS-Travel SA-MS3C-20140515,416 - XYZ BSS-Travel,BS
OK,NA,2,1,0,EMEA,80.513,30.933,93.261,416 - XYZ,OPS,BS,,BRL,USD,USD,BSS-Taxes SA-MS3C-20100308,416 - XYZ BSS-Taxes,BS
NA,BS,1,2,2,AMERICAS,43.847,71.521,13.841,415 - ABC,OPS,BS,,USD,BRL,EUR,BSS-Senio SA-MS3C-20240807,415 - ABC BSS-Senio,BS
OK,NA,3,1,2,EMEA,40.393,95.223,38.369,416 - XYZ,OPS,BS,,USD,USD,EUR,BSS-Train SA-MS3C-20061022,416 - XYZ BSS-Train,BS
OK,XX,3,0,4,APAC,93.367,######,78.537,416 - XYZ,FIN,BS,,EUR,EUR,USD,BSS-Config SA-MS3C-20081008,416 - XYZ BSS-Config,BS
OK,XX,5,4,0,AMERICAS,39.674,85.726,18.861,416 - XYZ,FIN,BS,,BRL,USD,USD,BSS-Travel SA-MS3C-20050619,416 - XYZ BSS-Travel,BS
NA,XX,0,2,0,APAC,89.786,12.799,75.03,415 - ABC,OPS,BS,,BRL,EUR,USD,BSS-Taxes SA-MS3C-20161015,415 - ABC BSS-Taxes,BS
NA,XX,4,4,5,EMEA,25.631,27.081,######,414 - SML,ASSI,BS,,BRL,EUR,EUR,BSS-Senio SA-MS3C-20171108,414 - SML BSS-Senio,BS
OK,XX,4,2,5,EMEA,64.879,74.286,79.765,415 - ABC,ASSI,BS,,USD,USD,EUR,BSS-Taxes SA-MS3C-20201112,415 - ABC BSS-Taxes,BS
NA,XX,3,5,5,EMEA,84.665,78.281,15.016,415 - ABC,ASSI,BS,,USD,EUR,USD,BSS-Train SA-MS3C-20131208,415 - ABC BSS-Train,BS
OK,BS,4,4,4,AMERICAS,94.458,58.424,######,416 - XYZ,OPS,BS,,BRL,BRL,USD,BSS-Train SA-MS3C-20150806,416 - XYZ BSS-Train,BS
OK,BS,4,2,5,APAC,12.904,2.609,37.093,415 - ABC,FIN,BS,,USD,USD,EUR,BSS-Sawl SA-MS3C-20160506,415 - ABC BSS-Sawl,BS
NA,NA,5,0,5,EMEA,49.273,11.326,84.181,414 - SML,ASSI,BS,,EUR,BRL,EUR,BSS-Senio SA-MS3C-20181123,414 - SML BSS-Senio,BS
OK,NA,3,2,4,EMEA,26.123,52.044,20.686,415 - ABC,ASSI,BS,,BRL,BRL,USD,BSS-Travel SA-MS3C-20171221,415 - ABC BSS-Travel,BS
OK,XX,1,1,4,APAC,9.93,25.97,92.132,416 - XYZ,ASSI,BS,,BRL,EUR,EUR,BSS-Train SA-MS3C-20080124,416 - XYZ BSS-Train,BS
