SupplierName,Dept,Service,NatAnal,ModuleName,Company,Account,Site,Section,Structure,Intercompany,Nature,Major,Minor,GroupSectionAndDescription,LedgerName,Source,Category,Supplier Number,SupplierName_Fake,DocumentCurrency,Ledgercurrency,AmoutinEUR,DebitEnteredAmount,CreditEnteredAmount,DebitAccountedAmount,CreditAccountedAmount,DateCreated,POOrderedDate,DueDate
ZTMRZ ONO INC,IN,DIR,Other expenses,AP,Meridian Solutions Corp,6151000,MTC,14400C,7950,415,N87_FE_F,MAJ04_Salary_Labor_F,MIN1010,1452 ISIT Infra Management,MX_589_PL_MXN,MassAllocation,GL_Supplier,37,Progressive Technologies,EUR,CAD,322268.8,489.27,0,680.98,0,2023/12/20,2025/08/18,2025/09/12
JLIDZ GVO INC,DIR,OTHER OP,Salaries,GL,Meridian Solutions Corp,6041000,MAN,14340A,7950,796,N94_ENERGY_F,MAJ11_Income,MIN0950,1458 ISIT BSS Entreprises Services (ES),MX_589_PL_MXN,Recurring,Usage Cost,35,Progressive Manufacturing,BRL,MXN,-7334.02,99.97,0,286.33,0,2024/02/05,2024/11/26,2025/05/01
QOVUT UCK INC,DIR,AFFILIATE,Taxes,GL,Apex Innovations Ltd,6160000,PP1,96501B,7950,567,N22_FE_F,MAJ20_Allocation_MASA_F,MIN0511,1456 ISIT Charge back central,MX_589_PL_MXN,MassAllocation,GL_Equity,50,Progressive Technologies,GBP,CAD,275939.33,898.57,0,668.61,0,2024/07/03,2025/06/24,2025/08/24
SQFOF VWV INC,DIR,Group EC,Training,PO,Quantum Dynamics Group,9860900,MAN,14400A,7956,567,N99_DEPRECIATION_F,MAJ08_Industrial_Supplies_V,MIN2076,1448 ISIT Infra Transverse operations (GOM),MX_839_PL_MXN,Recurring,REC,3,Progressive Technologies,BRL,USD,205385.31,436.43,0,630.85,0,2024/10/14,2025/08/19,2025/08/27
QTWSP HJM INC,BSS,OPEN,Taxes,GL,Meridian Solutions Corp,6432010,RIO,14640A,7956,200,N22_FE_F,MAJ04_Salary_Labor_F,MIN1010,1440 ISIT Infra Data centre & applications platforms (DAP),CA_407_PL_CAD,Spreadsheet,GL_AutoPrepa,47,Innovation Industries Corp,GBP,MXN,733175.45,439.93,0,419.3,0,2024/07/31,2025/03/29,2025/04/03
YVYWJ HJM INC,MQ,OPEN,Depreciation,PO,Apex Innovations Ltd,6438704,DDD,14400A,7956,511,N93_ENERGY_V,MAJ03_Temporary_Other_Labor_V,MIN0965,1448 ISIT Infra Transverse operations (GOM),US_415_PL_USD,Payables,GL_Supplier,41,Certified Distribution Corp,EUR,MXN,977489.63,404.62,0,172.07,0,2025/10/28,2025/10/30,2025/10/31
TDKBI BMA INC,DIR,Group EUX,Salaries,INV,Quantum Dynamics Group,6478100,PPC,14360A,7950,567,N70_DEPRECIATION_F,MAJ03_Temporary_Other_Labor_V,MIN2103,1472 Allocation unpaid intra group invoices by companies from South America,BR_414_PL_BRL,Manual,Misc Receipts,13,Standard Products Company,MXN,CAD,176763.14,533.0,0,833.91,0,2023/02/03,2023/12/09,2023/12/14
SAQTJ TSI INC,MQ,Infra - Projects,Depreciation,AP,TechnoGlobal Industries,6427100,DDD,14580B,7956,0,N93_ENERGY_V,MAJ05_Maintenance_F,MIN0937,1444 ISIT Infra Service Line NET (Network),,Assets,GL_Financial,15,Standard Products Company,CAD,USD,12557.17,196.33,0,644.7,0,2025/06/29,2025/10/05,2025/10/14
FPKGM MRB INC,BSS,SC,Training,PO,TechnoGlobal Industries,6457201,MXA,14480B,7956,407,N93_ENERGY_V,MAJ20_Allocation_MASA_F,MIN2040,1440 ISIT Infra Data centre & applications platforms (DAP),MX_589_PL_MXN,,GL_AutoPrepa,46,Certified Components Inc,USD,CAD,616427.38,19.24,0,80.16,0,2023/05/25,2025/04/12,2025/06/14
LVNUM DJZ INC,MQ,QPO,Depreciation,PA,Quantum Dynamics Group,6312100,MTC,14580A,7950,567,N97_FE_F,MAJ02_Prod_Maint_Wages_V,MIN0511,9650 Other operational expenses & revenues,BR_414_PL_BRL,Cost Management,Interface,48,Innovation Industries Corp,GBP,CAD,424285.43,536.73,0,886.94,0,2024/06/04,2024/08/22,2024/10/28
RHOSP VPN INC,BSS,EUX,Purchases,AP,TechnoGlobal Industries,6417999,PPC,14620A,7950,589,N87_FE_F,MAJ09_Travel_F,MIN2043,1472 Allocation unpaid intra group invoices by companies from South America,MX_589_PL_MXN,Cost Management,GL_Intercompany,46,Dynamic Solutions Group,CAD,BRL,953698.59,602.81,0,844.27,0,2023/05/10,2023/07/06,2023/08/18
UJISA PZT INC,DIR,SC,Taxes,AP,Apex Innovations Ltd,6211700,LAV,14360B,7950,407,N11_MASA_F,MAJ04_Salary_Labor_F,MIN0521,1456 ISIT Charge back central,BR_414_PL_BRL,Cost Management,GL_Supplier,36,Superior Technologies Inc,MXN,USD,779723.69,947.51,0,38.51,0,2025/06/03,2025/08/23,2025/09/10
NWNQI KQP INC,BSS,Maestro,Other expenses,PO,Meridian Solutions Corp,6417705,LAV,96500Q,7956,511,N87_FE_F,MAJ02_Prod_Maint_Wages_V,MIN0955,1456 ISIT Charge back central,CA_407_PL_CAD,MICH_CAW_GLJRNLINTF,GL_Legal_Adjustments,19,Strategic Components LLC,GBP,USD,881796.52,874.35,0,127.84,0,2024/05/12,2024/12/27,2025/08/19
KMZLP QLA INC,MQ,QPO,Internal,PA,Meridian Solutions Corp,6313100,DDD,14700A,7950,407,N81_MASA_F,MAJ05_Maintenance_V,MIN0410,1470 ISIT BSS IS Region managers (ISRM),,,Misc Receipts,2,Premier Logistics Co,CAD,MXN,413851.88,62.76,0,996.7,0,2023/08/13,2024/09/06,2024/12/20
UUYWS OTJ INC,MQ,Communications,Telecom Voice,GL,Nexus Enterprise Holdings,6132000,GRU,96500Q,7950,589,N70_DEPRECIATION_F,MAJ20_Allocation_FE_F,MIN2103,1440 ISIT Infra Data centre & applications platforms (DAP),MX_839_PL_MXN,Manual,Addition,9,Global Tech Solutions,USD,BRL,118356.27,990.11,0,273.77,0,2024/03/28,2024/12/26,2025/04/22
RNZVT FJN INC,BSS,DEV,Capitalized production (PRIM),PA,Nexus Enterprise Holdings,6432000,LAV,14580A,7950,415,N22_FE_F,MAJ10_Advertising_F,MIN1011,1460 ISIT BSS Methods & Sales (MS),US_415_PL_USD,Spreadsheet,Usage Cost,14,Strategic Components LLC,CAD,CAD,271233.45,196.52,0,948.76,0,2025/02/26,2025/10/19,2025/10/30
ZANYB HRW INC,BSS,MF,Telecom Data,GL,Meridian Solutions Corp,6211000,RES,14600B,7950,567,N70_DEPRECIATION_F,MAJ06_Utilities_Energy_V,MIN0937,1448 ISIT Infra Transverse operations (GOM),US_415_PL_USD,Projects,Receiving,3,Essential Services Co,CAD,BRL,751026.18,841.48,0,670.67,0,2024/09/18,2025/04/11,2025/06/07
LXZUG ARL INC,BSS,Security,Invoices sent,PA,Meridian Solutions Corp,6250300,RES,14680C,7950,511,N70_DEPRECIATION_F,MAJ20_Allocation_FE_F,MIN0320,1468 ISIT BSS Management,CA_407_PL_CAD,Cost Management,GL_Legal_Adjustments,32,Global Tech Solutions,USD,MXN,753770.76,17.49,0,892.42,0,2023/04/14,2023/04/14,2024/04/29
QPGSQ UMS INC,BSS,MQ,Depreciation,AP,Quantum Dynamics Group,6072000,GRU,14560B,7950,200,N21_FE_V,MAJ02_Prod_Maint_Wages_V,MIN1120,1470 ISIT BSS IS Region managers (ISRM),MX_589_PL_MXN,Manual,GL_Supplier_Auto_Reversal,20,Reliable Suppliers Group,EUR,MXN,564189.18,84.22,0,873.39,0,2025/10/30,2025/10/31,2025/11/01
ZTOPT WRO INC,DIR,Group EC,Travels,AP,Meridian Solutions Corp,6872100,DDD,96501B,7956,0,N99_DEPRECIATION_F,MAJ20_Cascade_FE_F,MIN0910,1462 ISIT BSS Production Sytems (PS),US_415_PL_USD,CLL F189 INTEGRATED RCV,GL_Equity,14,Premier Manufacturing Co,GBP,CAD,288540.42,11.45,0,260.46,0,2025/03/08,2025/08/04,2025/09/26
BMQJK QEJ INC,MQ,AFFILIATE,Telecom Data,AP,Quantum Dynamics Group,6418711,GRU,14562Z,7956,796,N81_MASA_F,MAJ07_Transportation_V,MIN0210,1456 ISIT Charge back central,BR_414_PL_BRL,Projects,GL_Supplier,13,Modern Solutions LLC,BRL,BRL,946198.68,144.47,0,506.47,0,2023/03/21,2025/03/15,2025/05/15
AJNEH ONP INC,DIR,MQ,Capitalized production (PRIM),PO,Quantum Dynamics Group,6310708,MXA,14520A,7956,723,N10_MASA_V,MAJ20_Cascade_ENERGY_F,MIN0320,1458 ISIT BSS Entreprises Services (ES),MX_839_PL_MXN,Spreadsheet,Freight,24,Strategic Components LLC,MXN,BRL,498926.46,827.0,0,438.54,0,2024/03/03,2024/08/14,2025/04/15
MMSIT ZBK INC,IN,OTHER OP,Telecom Data,GL,TechnoGlobal Industries,6416115,LAV,14320H,7956,567,N88_CESSIONS_DORD,MAJ05_Maintenance_V,MIN0520,9828 Other operational expenses & revenue non allocated,MX_589_PL_MXN,Assets,GL_Accrual_Auto_Reversal,42,Leading Edge Technologies,EUR,MXN,99043.44,350.37,0,133.69,0,2024/07/09,2024/12/07,2025/05/17
TQRGL TPK INC,MQ,AFFILIATE,Salaries,PO,TechnoGlobal Industries,6458707,GRU,14700A,7950,723,N94_ENERGY_F,MAJ02_Prod_Maint_Wages_V,MIN0210,1458 ISIT BSS Entreprises Services (ES),MX_839_PL_USD,MICH_EPW_GLJRNLINTF,GL_Accrual_Auto_Reversal,42,Superior Quality Goods,EUR,USD,965988.5,590.27,0,590.75,0,2023/07/20,2024/07/31,2024/10/14
LJMDM RSH INC,IN,Group EC,Maintenance & Rental,PO,TechnoGlobal Industries,6813000,DDD,14340A,7950,409,N21_FE_V,MAJ09_General_Overhead_F,MIN0430,1452 ISIT Infra Management,CA_407_PL_CAD,Cost Management,Labor Cost,7,Superior Technologies Inc,EUR,BRL,130005.75,748.52,0,21.4,0,2025/05/03,2025/06/20,2025/08/13
UNVRG PIG INC,BSS,D1 DAP,Purchases,PO,Nexus Enterprise Holdings,6077000,PPC,14600A,7956,567,N91_MASA_F,MAJ16_Restructuring,MIN1510,1436 ISIT Infra Service Line EUX (End User Experience),BR_414_PL_BRL,Receivables,Inventory,7,Professional Services Corp,CAD,CAD,479655.15,850.74,0,97.91,0,2025/02/28,2025/06/09,2025/08/09
QYENC CFR INC,MQ,Communications,Travels,AP,Nexus Enterprise Holdings,6072000,MXA,14340A,7950,415,N97_FE_F,MAJ21_Allocation_DORD,MIN0415,1464 ISIT BSS Research & development (RD),US_415_PL_USD,Assets,Inventory,20,Standard Industries Inc,USD,MXN,946288.88,294.39,0,71.48,0,2023/01/28,2024/03/10,2025/05/19
QOVUT UCK INC,MQ,Security,Invoices sent,GL,Quantum Dynamics Group,6260000,MAN,14660A,7950,589,N81_MASA_F,MAJ20_Cascade_ENERGY_F,MIN0830,1468 ISIT BSS Management,US_415_PL_USD,,GL_Equity,24,Progressive Technologies,CAD,USD,186475.98,676.5,0,993.94,0,2023/04/11,2025/04/14,2025/07/30
GHEZN YTO INC,BSS,AFFILIATE,Travels,AP,Apex Innovations Ltd,6437704,MXA,14320J,7956,589,N97_FE_F,MAJ05_Maintenance_V,MIN1620,1452 ISIT Infra Management,MX_589_PL_MXN,,Inventory,38,First Class Manufacturing,EUR,BRL,107673.46,453.55,0,537.28,0,2025/01/08,2025/02/08,2025/04/04
PADFL HVP INC,DIR,Group EUX,Purchases,PA,Nexus Enterprise Holdings,6731000,MTC,14340A,7950,407,N99_DEPRECIATION_F,MAJ16_Restructuring,MIN2005,1456 ISIT Charge back central,US_415_PL_USD,CLL F189 INTEGRATED RCV,Usage Cost,10,Quality First Industries,USD,CAD,805540.53,779.95,0,450.31,0,2024/02/09,2024/06/27,2025/01/02
PTCRL NVD INC,MQ,Security,Salaries,PA,Quantum Dynamics Group,6240000,MXA,96501C,7956,723,N70_DEPRECIATION_F,MAJ02_Prod_Maint_Wages_V,MIN0923,1444 ISIT Infra Service Line NET (Network),CA_407_PL_CAD,Payables,Addition,35,Precision Parts Corp,USD,CAD,997601.5,637.74,0,123.07,0,2025/03/25,2025/06/11,2025/07/16
MVQRE AAD INC,MQ,Infra - Projects,Telecom Voice,PA,TechnoGlobal Industries,6160000,CGR,14360A,7956,723,N81_MASA_F,MAJ09_Travel_F,MIN2072,9650 Other operational expenses & revenues,US_415_PL_USD,Cost Management,GL_Payroll,47,Reliable Manufacturing Group,USD,MXN,647230.13,230.48,0,5.69,0,2024/04/19,2024/07/08,2025/03/27
NWQXI RXG INC,MQ,Maestro,Other expenses,PA,Nexus Enterprise Holdings,6448715,CGR,14620A,7956,589,N88_CESSIONS_DORD,MAJ20_Cascade_MASA_F,MIN0415,1466 ISIT BSS Supply Chain (SC),MX_839_PL_USD,MICH_EPW_GLJRNLINTF,GL_Adjustment,24,Superior Quality Goods,USD,MXN,29829.95,254.74,0,519.32,0,2025/01/19,2025/01/21,2025/03/22
BMQJK QEJ INC,DIR,GOSM,Capitalized production (PRIM),GL,Apex Innovations Ltd,6467100,MAN,14700A,7950,0,N94_ENERGY_F,MAJ20_Allocation_FE_F,MIN0410,9828 Other operational expenses & revenue non allocated,MX_839_PL_USD,Manual,GL_Tax,14,Excellence Products Co,USD,USD,139589.54,504.26,0,102.28,0,2023/02/18,2023/03/13,2025/01/24
WAOOZ POB INC,BSS,EUX,Depreciation,INV,Apex Innovations Ltd,6418208,GRU,98158Z,7956,0,N21_FE_V,MAJ20_Cascade_ENERGY_F,MIN0910,1464 ISIT BSS Research & development (RD),MX_589_PL_MXN,Cost Management,Write-off,24,Leading Products Corp,USD,USD,917098.51,69.68,0,205.72,0,2025/10/27,2025/10/29,2025/10/30
FPKGM MRB INC,IN,ACC,Taxes,INV,Meridian Solutions Corp,6457703,RES,14320H,7950,0,N24_FE_MISC_INCOME_F,MAJ20_Cascade_ENERGY_V,MIN0420,9650 Other operational expenses & revenues,MX_589_PL_MXN,MICH_CAW_GLJRNLINTF,Usage Cost,34,Optimal Distribution Co,EUR,MXN,786347.5,134.45,0,744.06,0,2024/08/06,2025/06/17,2025/09/15
UCYLA TOE INC,MQ,QPO,Purchases,INV,TechnoGlobal Industries,6167000,RES,14600A,7950,409,N10_MASA_V,MAJ20_Cascade_ENERGY_F,MIN0919,1472 Allocation unpaid intra group invoices by companies from South America,MX_589_PL_MXN,MICH_CAW_GLJRNLINTF,GL_Allocation_Auto_Revers,20,Premier Logistics Co,USD,CAD,897809.56,204.71,0,638.61,0,2024/01/08,2024/04/23,2024/11/14
CBZHS FUA INC,BSS,Infra - Projects,Telecom Data,PO,Apex Innovations Ltd,6050000,GRU,14480A,7956,0,N70_DEPRECIATION_F,MAJ21_Allocation_DORD,MIN0415,1464 ISIT BSS Research & development (RD),MX_589_PL_MXN,Spreadsheet,Debit Memos,6,Premier Logistics Co,EUR,CAD,341991.15,470.44,0,567.01,0,2024/02/04,2024/08/15,2025/02/15
KNEHT ZGM INC,MQ,Infra - Projects,Taxes,INV,Apex Innovations Ltd,6438714,RIO,14562Z,7956,796,N88_CESSIONS_DORD,MAJ20_Cascade_ENERGY_V,MIN1011,9650 Other operational expenses & revenues,US_415_PL_USD,Recurring,Usage Cost,13,Leading Products Corp,MXN,USD,373702.81,588.22,0,111.64,0,2024/04/29,2024/07/04,2025/03/23
NMOTI VQG INC,DIR,OPEN,Telecom Voice,AP,Nexus Enterprise Holdings,6160000,RES,96500N,7956,796,N91_MASA_F,MAJ06_Utilities_Energy_V,MIN0925,9650 Other operational expenses & revenues,MX_839_PL_USD,Payables,Misc Receipts,14,Advanced Systems Group,BRL,MXN,655633.17,487.1,0,252.85,0,2024/07/25,2025/07/28,2025/09/01
WCVPC ULK INC,IN,ACC,Internal,PA,Apex Innovations Ltd,6457703,CGR,14580A,7956,409,N88_CESSIONS_DORD,MAJ05_Maintenance_V,MIN1120,1464 ISIT BSS Research & development (RD),CA_407_PL_CAD,Recurring,GL_Financial_AutoReversal,45,Reliable Manufacturing Group,USD,MXN,13238.05,449.72,0,240.76,0,2025/01/22,2025/08/15,2025/08/22
BMQJK QEJ INC,DIR,MQ,Capitalized production (PRIM),GL,Quantum Dynamics Group,6417701,MXA,14340A,7950,589,N24_FE_MISC_INCOME_F,MAJ20_Cascade_DEPRECIATION_F,MIN1510,1460 ISIT BSS Methods & Sales (MS),MX_589_PL_MXN,,Depreciation,19,Universal Supply Chain,EUR,USD,586255.85,356.61,0,847.0,0,2023/06/24,2024/06/29,2024/12/31
TEHIO WDB INC,BSS,D1 DAP,Purchases,INV,Apex Innovations Ltd,6731000,CGR,14600A,7950,409,N11_MASA_F,MAJ09_General_Overhead_F,MIN0610,1432 ISIT Region Direction,,,Depreciation,34,Progressive Technologies,MXN,BRL,691911.03,375.45,0,229.61,0,2023/10/22,2024/06/26,2025/04/23
OLAFG FIK INC,IN,DIR,Depreciation,INV,Apex Innovations Ltd,6448201,LAV,14440A,7956,589,N99_DEPRECIATION_F,MAJ04_Salary_Labor_F,MIN0210,1464 ISIT BSS Research & development (RD),MX_589_PL_MXN,,Reclass,23,Optimal Resources Inc,BRL,CAD,315910.42,433.08,0,932.31,0,2024/12/18,2025/01/01,2025/05/29
YNBTB FJD INC,DIR,DIR,Telecom Data,PO,TechnoGlobal Industries,6021015,PP1,98281C,7950,0,N88_CESSIONS_DORD,MAJ20_Cascade_DEPRECIATION_F,MIN0520,1432 ISIT Region Direction,US_415_PL_USD,MassAllocation,GL_Payroll,11,Precision Parts Corp,MXN,MXN,539692.55,123.2,0,737.21,0,2023/03/17,2024/08/23,2025/07/17
DJHUR TWQ INC,BSS,Group EUX,Internal,PA,Meridian Solutions Corp,6725000,RES,14680B,7956,723,N94_ENERGY_F,MAJ21_Allocation_DORD,MIN0320,1472 Allocation unpaid intra group invoices by companies from South America,MX_839_PL_USD,Projects,Depreciation,17,First Class Services Ltd,GBP,USD,303545.49,286.25,0,247.39,0,2024/02/03,2025/08/24,2025/10/06
IPIUW HAI INC,BSS,Group EUX,Other expenses,AP,Apex Innovations Ltd,6448201,PPC,14320H,7956,407,N87_FE_F,MAJ20_Cascade_ENERGY_F,MIN1110,1456 ISIT Charge back central,US_415_PL_USD,MICH_EPW_GLJRNLINTF,Labor Cost,21,Optimal Distribution Co,USD,BRL,803082.66,398.17,0,124.79,0,2024/05/20,2024/10/18,2025/09/21
AFLZW ZXA INC,DIR,AFFILIATE,Capitalized production (PRIM),INV,Nexus Enterprise Holdings,6233000,CGR,14720A,7950,200,N22_FE_F,MAJ20_Allocation_FE_F,MIN0940,1434 ISIT Method & Quality,MX_589_PL_MXN,Recurring,Adjustment,7,Precision Parts Corp,MXN,USD,624852.24,786.56,0,281.65,0,2024/11/15,2025/09/09,2025/10/31
ZXCDD BQQ INC,MQ,MF,Telecom Voice,PO,Apex Innovations Ltd,6418208,PPC,14620A,7950,0,N91_MASA_F,MAJ16_FA_Disposal,MIN0917,1432 ISIT Region Direction,US_415_PL_USD,Spreadsheet,GL_Legal_Adjustments,46,Quality Components Ltd,EUR,MXN,810742.37,716.4,0,144.04,0,2024/11/12,2025/03/31,2025/07/08
OYJFX XNN INC,IN,Infra - Projects,Depreciation,GL,Meridian Solutions Corp,6448703,RIO,96501C,7950,200,N93_ENERGY_V,MAJ16_FA_Disposal,MIN1510,1464 ISIT BSS Research & development (RD),MX_589_PL_MXN,CLL F189 INTEGRATED RCV,Reclass,50,Professional Services Corp,CAD,BRL,478705.11,628.73,0,906.05,0,2025/06/05,2025/08/11,2025/08/15
AIWHP QKL INC,MQ,Communications,Telecom Data,GL,Quantum Dynamics Group,6448706,RIO,14600A,7956,796,N97_FE_F,MAJ20_Allocation_FE_F,MIN0916,1432 ISIT Region Direction,MX_839_PL_USD,MICH_EPW_GLJRNLINTF,Receiving,27,Quality Components Ltd,EUR,BRL,186066.65,964.77,0,334.5,0,2025/06/20,2025/09/29,2025/10/15
NXIVA CVA INC,DIR,QPO,Telecom Voice,PA,TechnoGlobal Industries,6478100,MXA,96500Q,7956,796,N91_MASA_F,MAJ16_Restructuring,MIN0965,1448 ISIT Infra Transverse operations (GOM),BR_414_PL_BRL,Spreadsheet,Purchase Invoices,2,Essential Services Co,MXN,MXN,252475.76,185.05,0,56.36,0,2025/01/10,2025/01/18,2025/06/21
AJNEH ONP INC,BSS,AFFILIATE,Training,AP,Meridian Solutions Corp,6183000,PPC,14580B,7950,567,N93_ENERGY_V,MAJ03_Temporary_Other_Labor_V,MIN2063,1452 ISIT Infra Management,,,Misc Receipts,10,Excellence Manufacturing,GBP,CAD,26709.49,380.45,0,265.76,0,2025/04/21,2025/09/26,2025/10/24
ZANYB HRW INC,MQ,NET,Invoices sent,PO,Quantum Dynamics Group,6187000,MXA,14600B,7956,0,N94_ENERGY_F,MAJ20_Cascade_DEPRECIATION_F,MIN0505,1472 Allocation unpaid intra group invoices by companies from South America,CA_407_PL_CAD,MICH_EPW_GLJRNLINTF,Depreciation,20,Modern Equipment Corp,USD,CAD,565848.77,571.96,0,410.18,0,2025/02/11,2025/05/25,2025/10/13
WBZHW LZV INC,MQ,Infra - Projects,Training,PA,Apex Innovations Ltd,6870100,LAV,14660A,7956,407,N94_ENERGY_F,MAJ20_Cascade_MASA_F,MIN0420,9650 Other operational expenses & revenues,,Projects,GL_Financial,43,First Class Services Ltd,CAD,CAD,160626.31,489.26,0,69.82,0,2023/09/04,2024/01/08,2024/05/05
RLVOY KBH INC,IN,NET,Training,GL,Quantum Dynamics Group,6060000,RES,14360B,7950,0,N24_FE_MISC_INCOME_F,MAJ09_General_Overhead_V,MIN2076,1470 ISIT BSS IS Region managers (ISRM),CA_407_PL_CAD,Assets,Inventory,3,Strategic Industries Inc,MXN,CAD,350950.37,198.05,0,2.09,0,2025/03/06,2025/06/30,2025/09/30
WMOTK MTJ INC,MQ,GOSM,Internal,GL,Meridian Solutions Corp,6446200,LAV,14320J,7956,589,N30_ENERGY_V,MAJ16_FA_Disposal,MIN2005,1440 ISIT Infra Data centre & applications platforms (DAP),US_415_PL_USD,Receivables,Misc Receipts,14,Integrated Manufacturing,USD,CAD,39095.56,502.76,0,884.17,0,2023/09/16,2024/09/03,2025/02/18
SQFOF VWV INC,IN,OPEN,Training,GL,Apex Innovations Ltd,6468201,DDD,14680C,7956,511,N22_FE_F,MAJ05_Maintenance_F,MIN0511,1432 ISIT Region Direction,,Receivables,GL_Supplier_Auto_Reversal,11,Advanced Materials Group,CAD,BRL,450618.05,651.78,0,267.92,0,2023/02/24,2025/01/06,2025/04/24
KNEHT ZGM INC,MQ,MASS ALLOC,Depreciation,INV,TechnoGlobal Industries,6448707,PPC,14340A,7950,567,N21_FE_V,MAJ09_Travel_F,MIN2063,1436 ISIT Infra Service Line EUX (End User Experience),MX_589_PL_MXN,Receivables,GL_Supplier,11,First Class Services Ltd,MXN,MXN,19221.83,521.45,0,300.58,0,2023/03/02,2024/01/30,2025/09/08
SSONN PDE INC,DIR,NET,Capitalized production (PRIM),GL,Nexus Enterprise Holdings,6467701,GRU,14720A,7956,796,N30_ENERGY_V,MAJ16_FA_Disposal,MIN0910,9815 Expenses to be reinvoiced or reallocated,BR_414_PL_BRL,Payables,Inventory,28,Leading Edge Technologies,MXN,CAD,368971.28,485.25,0,411.05,0,2024/05/07,2025/10/09,2025/10/14
FHYZJ CAE INC,MQ,SC,Telecom Data,PA,Nexus Enterprise Holdings,6262000,DDD,14680B,7956,409,N99_DEPRECIATION_F,MAJ20_Cascade_MASA_F,MIN2063,1468 ISIT BSS Management,CA_407_PL_CAD,Cost Management,GL_Intercompany_Reversal,6,Dynamic Industries Inc,GBP,CAD,317220.64,320.5,0,348.24,0,2025/01/09,2025/10/22,2025/10/31
WWIQQ UQU INC,MQ,NET,Travels,PO,Nexus Enterprise Holdings,6417709,RIO,14360B,7950,511,N94_ENERGY_F,MAJ20_Allocation_FE_F,MIN0435,1456 ISIT Charge back central,MX_839_PL_MXN,MICH_CAW_GLJRNLINTF,Retirement,9,Innovation Systems Ltd,CAD,CAD,623845.03,537.09,0,214.81,0,2023/11/22,2025/05/06,2025/08/29
PZXNY WGY INC,IN,ACC,Telecom Voice,INV,Apex Innovations Ltd,6110000,DDD,14600B,7956,0,N88_CESSIONS_DORD,MAJ02_Prod_Maint_Wages_V,MIN2076,1462 ISIT BSS Production Sytems (PS),MX_839_PL_USD,Manual,Receiving,41,Progressive Manufacturing,BRL,USD,191482.57,466.04,0,441.2,0,2024/09/30,2025/10/02,2025/10/21
SVBSF AZV INC,DIR,AFFILIATE,Training,GL,Nexus Enterprise Holdings,6240000,MAN,14320F,7956,0,N94_ENERGY_F,MAJ16_Restructuring,MIN0919,1464 ISIT BSS Research & development (RD),BR_414_PL_BRL,Manual,Usage Cost,10,Professional Resources Ltd,EUR,MXN,304222.75,82.99,0,80.8,0,2024/09/13,2025/10/10,2025/10/12
CILSE RMV INC,BSS,AFFILIATE,Taxes,GL,Quantum Dynamics Group,6210000,MAN,14580A,7956,511,N11_MASA_F,MAJ03_Temporary_Other_Labor_V,MIN0956,1436 ISIT Infra Service Line EUX (End User Experience),,CLL F189 INTEGRATED RCV,GL_Tax,15,Prime Components Group,MXN,USD,210179.01,587.28,0,741.75,0,2024/11/19,2025/02/03,2025/04/11
TJDAJ OBI INC,DIR,OPEN,Telecom Voice,AP,Quantum Dynamics Group,6250700,MAN,14320J,7956,409,N97_FE_F,MAJ20_Cascade_FE_F,MIN2043,1472 Allocation unpaid intra group invoices by companies from South America,MX_589_PL_MXN,Assets,GL_Financial_AutoReversal,13,Prime Logistics Partners,CAD,MXN,95702.1,421.47,0,94.76,0,2023/02/26,2023/10/08,2024/05/18
CSDDS TNR INC,IN,DIR,Telecom Data,PO,Nexus Enterprise Holdings,6438100,CGR,14320H,7950,200,N88_CESSIONS_DORD,MAJ20_Allocation_MASA_F,MIN0320,1468 ISIT BSS Management,US_415_PL_USD,MICH_CAW_GLJRNLINTF,Addition,25,Reliable Suppliers Group,GBP,BRL,607703.8,793.89,0,334.2,0,2025/01/21,2025/03/21,2025/03/29
NFQCH BMZ INC,DIR,EC,Internal,INV,Nexus Enterprise Holdings,6252100,MTC,96501C,7956,567,N70_DEPRECIATION_F,MAJ20_Cascade_FE_F,MIN0925,1466 ISIT BSS Supply Chain (SC),,,Adjustment,15,Global Tech Solutions,MXN,BRL,191169.64,311.28,0,655.82,0,2025/03/26,2025/05/13,2025/06/22
FBTIF RBQ INC,DIR,Communications,Invoices sent,PA,Quantum Dynamics Group,6112000,RIO,14680C,7956,409,N30_ENERGY_V,MAJ04_Salary_Labor_F,MIN0918,9650 Other operational expenses & revenues,,Recurring,CIP Adjustment,32,Elite Distribution Corp,USD,BRL,492462.54,468.95,0,659.28,0,2023/10/25,2023/12/01,2024/01/14
HHQNQ ILD INC,IN,OPEN,Salaries,AP,TechnoGlobal Industries,6436115,RES,98281C,7956,0,N94_ENERGY_F,MAJ20_Allocation_FE_F,MIN0511,1460 ISIT BSS Methods & Sales (MS),MX_839_PL_USD,CLL F189 INTEGRATED RCV,Purchase Invoices,29,Essential Materials Ltd,USD,BRL,717656.14,58.94,0,147.61,0,2025/07/23,2025/10/24,2025/10/29
DIITL TPK INC,DIR,Security,Capitalized production (PRIM),GL,Meridian Solutions Corp,6233000,GRU,14661C,7950,0,N99_DEPRECIATION_F,MAJ11_Income,MIN2040,9815 Expenses to be reinvoiced or reallocated,US_415_PL_USD,Payables,GL_Intercompany_Reversal,33,Premier Manufacturing Co,BRL,USD,155470.85,616.2,0,11.81,0,2023/04/06,2024/04/10,2024/08/02
